"ExcelBarcode","Name","Quantity","Description","Date","Barcode.Type","WellRow","WellCol","WellCombo","SampleID","SampleBarcode","Collection_Label","Field_Site","CollectionDate","Sample_Type","Habitat","Host","Trophic","Accessioned","PI","Metadata","Lat","Long","Processing","Storage_Room","Storage_Location","FreezerBox","Container_Size","Notes"
"'00854'","","1","","2018-12-14T11:50:57","QR_CODE","G","03","G03","WMEA_00854_An_M1","00854","CoralType2C-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Lobata yellow","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00855'","","1","","2018-12-14T11:51:00","QR_CODE","H","03","H03","WMEA_00855_An_M1","00855","CoralType3A-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground blue","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00856'","","1","","2018-12-14T11:51:24","QR_CODE","A","04","A04","WMEA_00856_An_M1","00856","CoralType3B-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground blue","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00857'","","1","","2018-12-14T11:51:31","QR_CODE","B","04","B04","WMEA_00857_An_M1","00857","CoralType3C-M1","M1","10/25/2018","Coral","Marine","Animal","Unknown","Yes","Craig","Ground blue","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00837'","","1","","2018-12-14T11:51:35","QR_CODE","C","04","C04","WMEA_00837_An_M1","00837","InvertType2A-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00838'","","1","","2018-12-14T11:51:38","QR_CODE","D","04","D04","WMEA_00838_An_M1","00838","InvertType2B-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00839'","","1","","2018-12-14T11:51:44","QR_CODE","E","04","E04","WMEA_00839_An_M1","00839","InvertType2C-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00840'","","1","","2018-12-14T11:51:47","QR_CODE","F","04","F04","WMEA_00840_An_M1","00840","InvertType3A-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00841'","","1","","2018-12-14T11:51:53","QR_CODE","G","04","G04","WMEA_00841_An_M1","00841","InvertType3B-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00842'","","1","","2018-12-14T11:51:59","QR_CODE","H","04","H04","WMEA_00842_An_M1","00842","InvertType3C-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Sponge","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00843'","","1","","2018-12-14T11:52:08","QR_CODE","A","05","A05","WMEA_00843_An_M1","00843","InvertType4A-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Tunicate","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00844'","","1","","2018-12-14T11:52:13","QR_CODE","B","05","B05","WMEA_00844_An_M1","00844","InvertType4B-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Tunicate","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00846'","","1","","2018-12-14T11:52:17","QR_CODE","C","05","C05","WMEA_00846_An_M1","00846","InvertType5A-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00847'","","1","","2018-12-14T11:52:23","QR_CODE","D","05","D05","WMEA_00847_An_M1","00847","InvertType5B-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00848'","","1","","2018-12-14T11:52:29","QR_CODE","E","05","E05","WMEA_00848_An_M1","00848","InvertType5C-M1","M1","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63854","-158.0717","FreezeDry","SJ510","DryCabinet","","",""
"'00902'","","1","","2018-12-14T11:52:32","QR_CODE","F","05","F05","WMEA_00902_An_M2","00902","InvertType1A-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00903'","","1","","2018-12-14T11:52:39","QR_CODE","G","05","G05","WMEA_00903_An_M2","00903","InvertType1B-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00904'","","1","","2018-12-14T11:52:46","QR_CODE","H","05","H05","WMEA_00904_An_M2","00904","InvertType1C-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Eucidaris metularia","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00905'","","1","","2018-12-14T11:52:51","QR_CODE","A","06","A06","WMEA_00905_An_M2","00905","InvertType2A-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Echinometra mathaei","21.63852","-158.07062","FreezeDry","DryCabinet","","","","extracted in mobio tube"
"'00906'","","1","","2018-12-14T11:52:56","QR_CODE","B","06","B06","WMEA_00906_An_M2","00906","InvertType2B-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Echinometra mathaei","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00907'","","1","","2018-12-14T11:53:02","QR_CODE","C","06","C06","WMEA_00907_An_M2","00907","InvertType2C-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Echinometra mathaei","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00908'","","1","","2018-12-14T11:53:08","QR_CODE","D","06","D06","WMEA_00908_An_M2","00908","InvertType3A-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Hyrtios sp","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00909'","","1","","2018-12-14T11:53:12","QR_CODE","E","06","E06","WMEA_00909_An_M2","00909","InvertType3B-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Hyrtios sp","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00910'","","1","","2018-12-14T11:53:23","QR_CODE","F","06","F06","WMEA_00910_An_M2","00910","InvertType3C-M2","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Hyrtios sp","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00911'","","1","","2018-12-14T11:53:30","QR_CODE","G","06","G06","WMEA_00911_An_M2","00911","InvertType4A-M2-in","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Tripneustestes sp shell contents","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00912'","","1","","2018-12-14T11:53:34","QR_CODE","H","06","H06","WMEA_00912_An_M2","00912","InvertType4B-M2-in","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Tripneustestes sp shell contents","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00913'","","1","","2018-12-14T11:53:38","QR_CODE","A","07","A07","WMEA_00913_An_M2","00913","InvertType4C-M2-in","M2","10/25/2018","MarineInvert","Marine","Animal","Unknown","Yes","Craig","Tripneustestes sp shell contents","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00896'","","1","","2018-12-14T11:53:42","QR_CODE","B","07","B07","WMEA_00896_Pl_M1","00896","CCAType1A-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00897'","","1","","2018-12-14T11:53:49","QR_CODE","C","07","C07","WMEA_00897_Pl_M1","00897","CCAType1B-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00898'","","1","","2018-12-14T11:53:52","QR_CODE","D","07","D07","WMEA_00898_Pl_M1","00898","CCAType1C-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00899'","","1","","2018-12-14T11:53:58","QR_CODE","E","07","E07","WMEA_00899_Pl_M1","00899","CCAType2A-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00900'","","1","","2018-12-14T11:54:07","QR_CODE","F","07","F07","WMEA_00900_Pl_M1","00900","CCAType2B-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00901'","","1","","2018-12-14T11:54:13","QR_CODE","G","07","G07","WMEA_00901_Pl_M1","00901","CCAType2C-M1","M1","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63854","-158.0717","FreezeDry","DryCabinet","","","",""
"'00963'","","1","","2018-12-14T11:54:18","QR_CODE","H","07","H07","WMEA_00963_Pl_M2","00963","CCAType1A-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00964'","","1","","2018-12-14T11:54:25","QR_CODE","A","08","A08","WMEA_00964_Pl_M2","00964","CCAType1B-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00965'","","1","","2018-12-14T11:54:31","QR_CODE","B","08","B08","WMEA_00965_Pl_M2","00965","CCAType1C-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Red","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00966'","","1","","2018-12-14T11:54:37","QR_CODE","C","08","C08","WMEA_00966_Pl_M2","00966","CCAType2A-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00967'","","1","","2018-12-14T11:54:42","QR_CODE","D","08","D08","WMEA_00967_Pl_M2","00967","CCAType2B-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00968'","","1","","2018-12-14T11:54:46","QR_CODE","E","08","E08","WMEA_00968_Pl_M2","00968","CCAType2C-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Purple","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00969'","","1","","2018-12-14T11:54:51","QR_CODE","F","08","F08","WMEA_00969_Pl_M2","00969","CCAType3A-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Pink","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00970'","","1","","2018-12-14T11:54:55","QR_CODE","G","08","G08","WMEA_00970_Pl_M2","00970","CCAType3B-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Pink","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'00971'","","1","","2018-12-14T11:55:00","QR_CODE","H","08","H08","WMEA_00971_Pl_M2","00971","CCAType3C-M2","M2","10/25/2018","CCA","Marine","Plant","PrimaryProducer","Yes","Anthony","Pink","21.63852","-158.07062","FreezeDry","DryCabinet","","","",""
"'01172'","","1","","2018-12-14T11:55:04","QR_CODE","A","09","A09","WMEA_01172_NA_NA","01172","ExtractionPlate4Neg",NA,NA,"NegativeControl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
"'01173'","","1","","2018-12-14T11:55:10","QR_CODE","B","09","B09","WMEA_01173_NA_NA","01173","ExtractionPlate4Neg",NA,NA,"NegativeControl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",""
